pcomp QTL19 QTL20 y Animal G20 G20Hat yLH
2.03667881032255 -4.42864573324512 -1.13708159552585 4.74728384998399 1 1 3.55 4.43450309761632
-9.6575942729091 -1.17192959828062 -1.13708159552585 -18.5762320622520 2 1 3.55 -13.1906309921584
3.49601270183089 2.08478653668387 -1.13708159552585 -4.43040227962562 3 1 3.55 14.6885511420010
5.89409419810261 2.08478653668387 2.37321906209426 9.06796703924462 4 2 5.22 9.8246261931033
-7.79919353326743 -1.17192959828062 -4.64738225314596 -6.16305878209495 5 0 0 -10.2276009618924
-3.20707446258051 -4.42864573324512 -1.13708159552585 1.06764562555757 6 1 3.55 -5.70724463768215
-8.68342979794368 -1.17192959828062 -1.13708159552585 -12.8197112545756 7 1 3.55 -26.4123766598062
-3.56400076866104 -1.17192959828062 -1.13708159552585 0.896247913252284 8 1 3.55 7.9585537869687
7.26485357626812 2.08478653668387 -1.13708159552585 8.76721929416757 9 1 3.55 4.74756957021773
-4.52636380284796 -4.42864573324512 -1.13708159552585 -11.2428780559814 10 1 3.55 -5.99050509349998
6.45328392266498 2.08478653668387 -1.13708159552585 10.4040555883251 11 1 3.55 17.5917252673191
-6.79138594656691 -4.42864573324512 -1.13708159552585 -6.48786768295941 12 1 3.55 5.66891726669487
3.16347002310236 -1.17192959828062 2.37321906209426 9.08008242098556 13 2 5.22 4.22961037140031
2.63573826427339 2.08478653668387 -1.13708159552585 -1.63100435650702 14 1 3.55 2.67930325742253
-4.32538277591704 -1.17192959828062 -1.13708159552585 -4.98390176742579 15 1 3.55 -6.66057796837021
3.85482267112218 2.08478653668387 -1.13708159552585 -0.984309995034094 16 1 3.55 6.23952204532696
-0.893777156614134 2.08478653668387 2.37321906209426 -5.9901614501864 17 2 5.22 -8.63748020539368
-0.415738498004274 2.08478653668387 2.37321906209426 7.14188369681466 18 2 5.22 0.781162687978175
-13.0071682270100 -1.17192959828062 -1.13708159552585 -11.9604900002821 19 1 3.55 -19.2705149459023
8.36781117500716 2.08478653668387 2.37321906209426 9.15965897228236 20 2 5.22 13.2936239853234
0.636902655481083 2.08478653668387 2.37321906209426 -5.14857147247625 21 2 5.22 -7.93339846655621
-4.58774669368168 2.08478653668387 -1.13708159552585 -2.8079564587255 22 1 3.55 6.26339931172636
-4.59540247781679 -1.17192959828062 -1.13708159552585 -5.1962764050011 23 1 3.55 -12.344020792741
5.8618420578087 2.08478653668387 2.37321906209426 -7.98204343339951 24 2 5.22 11.6553941785364
4.27938621513317 2.08478653668387 -1.13708159552585 2.73192682398299 25 1 3.55 7.57457104341116
-3.09671973353694 -1.17192959828062 -1.13708159552585 -2.75738013481453 26 1 3.55 -1.91910809847661
5.21758218232983 -1.17192959828062 2.37321906209426 -3.01220289722249 27 2 5.22 -7.14627612172
5.34031101414307 2.08478653668387 -1.13708159552585 9.01791561686675 28 1 3.55 9.4982932959637
-0.976840517425635 -1.17192959828062 2.37321906209426 1.70105524069105 29 2 5.22 8.34784408068757
5.98900222731961 2.08478653668387 2.37321906209426 5.39192329639379 30 2 5.22 0.293566992945286
-4.93405831558848 2.08478653668387 -1.13708159552585 -0.449909304239252 31 1 3.55 2.62168809304576
5.73127233911911 2.08478653668387 2.37321906209426 4.14658809461153 32 2 5.22 2.53402876616385
-3.72104614720911 2.08478653668387 -1.13708159552585 -3.59087284415144 33 1 3.55 -24.7428680339610
2.29205749083945 2.08478653668387 -1.13708159552585 -6.75009524431243 34 1 3.55 6.26189444789495
2.9996548534241 2.08478653668387 2.37321906209426 0.968995327849982 35 2 5.22 3.91061017571279
0.291704078318159 -1.17192959828062 -1.13708159552585 -9.15711079517941 36 1 3.55 31.8379017817935
-1.90010736064398 2.08478653668387 -1.13708159552585 -10.6509276031988 37 1 3.55 1.42179025166762
-3.80091778889066 -1.17192959828062 -1.13708159552585 2.69186209091918 38 1 3.55 6.65304678106359
-8.42603057701066 -1.17192959828062 -4.64738225314596 -9.46593705584185 39 0 0 -11.3887492462498
-7.18956090141552 2.08478653668387 -1.13708159552585 -8.64403868869203 40 1 3.55 -31.4056102633773
-11.9334340768062 -1.17192959828062 -4.64738225314596 -10.0745872341366 41 0 0 -11.2141810300904
12.1403005371011 2.08478653668387 2.37321906209426 11.1911962001220 42 2 5.22 10.7924900482564
-10.7898282309678 2.08478653668387 -1.13708159552585 -13.7222796705136 43 1 3.55 -15.1763635592942
1.71986122565898 2.08478653668387 -1.13708159552585 -0.136991054451911 44 1 3.55 -17.0300686739146
-2.47777369786986 -1.17192959828062 2.37321906209426 3.3921959059747 45 2 5.22 5.30297067132175
5.76514685377594 -1.17192959828062 -1.13708159552585 7.61119325697514 46 1 3.55 15.4638530356359
0.705257862628242 -1.17192959828062 2.37321906209426 6.62211272352845 47 2 5.22 -2.46457356152569
0.884203310131082 -1.17192959828062 2.37321906209426 -9.7273888209304 48 2 5.22 -2.26047290032844
